#Sourced voltage, Channel Current 
-1.5,  +7.781470E-04
-1.5,  +7.781450E-04
-1.5,  +7.781700E-04
-1.5,  +7.781630E-04
-1.5,  +7.781700E-04
-1.5,  +7.781590E-04
-1.5,  +7.781630E-04
-1.5,  +7.781580E-04
-1.5,  +7.781630E-04
-1.5,  +7.781820E-04
-1.5,  +7.781750E-04
-1.5,  +7.781670E-04
-1.5,  +7.781670E-04
-1.5,  +7.781710E-04
-1.5,  +7.781770E-04
-1.5,  +7.781770E-04
-1.5,  +7.781710E-04
-1.5,  +7.781610E-04
-1.5,  +7.781760E-04
-1.5,  +7.781850E-04
-1.4210526315789473,  +7.121610E-04
-1.4210526315789473,  +7.121590E-04
-1.4210526315789473,  +7.121780E-04
-1.4210526315789473,  +7.121580E-04
-1.4210526315789473,  +7.121560E-04
-1.4210526315789473,  +7.121570E-04
-1.4210526315789473,  +7.121640E-04
-1.4210526315789473,  +7.121710E-04
-1.4210526315789473,  +7.121500E-04
-1.4210526315789473,  +7.121460E-04
-1.4210526315789473,  +7.121630E-04
-1.4210526315789473,  +7.121670E-04
-1.4210526315789473,  +7.121690E-04
-1.4210526315789473,  +7.121580E-04
-1.4210526315789473,  +7.121690E-04
-1.4210526315789473,  +7.121670E-04
-1.4210526315789473,  +7.121550E-04
-1.4210526315789473,  +7.121650E-04
-1.4210526315789473,  +7.121740E-04
-1.4210526315789473,  +7.121590E-04
-1.3421052631578947,  +6.463840E-04
-1.3421052631578947,  +6.463840E-04
-1.3421052631578947,  +6.463990E-04
-1.3421052631578947,  +6.463800E-04
-1.3421052631578947,  +6.463860E-04
-1.3421052631578947,  +6.464000E-04
-1.3421052631578947,  +6.464010E-04
-1.3421052631578947,  +6.463930E-04
-1.3421052631578947,  +6.463960E-04
-1.3421052631578947,  +6.464090E-04
-1.3421052631578947,  +6.463890E-04
-1.3421052631578947,  +6.463920E-04
-1.3421052631578947,  +6.463970E-04
-1.3421052631578947,  +6.463910E-04
-1.3421052631578947,  +6.463980E-04
-1.3421052631578947,  +6.463940E-04
-1.3421052631578947,  +6.464020E-04
-1.3421052631578947,  +6.463890E-04
-1.3421052631578947,  +6.464060E-04
-1.3421052631578947,  +6.464090E-04
-1.263157894736842,  +5.808940E-04
-1.263157894736842,  +5.809120E-04
-1.263157894736842,  +5.809060E-04
-1.263157894736842,  +5.808980E-04
-1.263157894736842,  +5.808990E-04
-1.263157894736842,  +5.809000E-04
-1.263157894736842,  +5.809110E-04
-1.263157894736842,  +5.808910E-04
-1.263157894736842,  +5.808950E-04
-1.263157894736842,  +5.809070E-04
-1.263157894736842,  +5.809030E-04
-1.263157894736842,  +5.809100E-04
-1.263157894736842,  +5.809180E-04
-1.263157894736842,  +5.809030E-04
-1.263157894736842,  +5.809110E-04
-1.263157894736842,  +5.809030E-04
-1.263157894736842,  +5.808940E-04
-1.263157894736842,  +5.808990E-04
-1.263157894736842,  +5.809020E-04
-1.263157894736842,  +5.809190E-04
-1.1842105263157894,  +5.158030E-04
-1.1842105263157894,  +5.157930E-04
-1.1842105263157894,  +5.157980E-04
-1.1842105263157894,  +5.157930E-04
-1.1842105263157894,  +5.157980E-04
-1.1842105263157894,  +5.157960E-04
-1.1842105263157894,  +5.157820E-04
-1.1842105263157894,  +5.157890E-04
-1.1842105263157894,  +5.158000E-04
-1.1842105263157894,  +5.157920E-04
