#2024-07-17 15:19:35.999611, Temp:  27.8°C, Humi: 59.1 %
Sourced_voltage,Channel_Current
-1.5,+7.826910E-04
-1.5,+7.826840E-04
-1.5,+7.826760E-04
-1.5,+7.826700E-04
-1.5,+7.826820E-04
-1.5,+7.826680E-04
-1.5,+7.826590E-04
-1.5,+7.826660E-04
-1.5,+7.826560E-04
-1.5,+7.826650E-04
-1.4,+6.991330E-04
-1.4,+6.991470E-04
-1.4,+6.991510E-04
-1.4,+6.991330E-04
-1.4,+6.991410E-04
-1.4,+6.991500E-04
-1.4,+6.991340E-04
-1.4,+6.991440E-04
-1.4,+6.991390E-04
-1.4,+6.991350E-04
-1.3,+6.160310E-04
-1.3,+6.160320E-04
-1.3,+6.160280E-04
-1.3,+6.160300E-04
-1.3,+6.160440E-04
-1.3,+6.160320E-04
-1.3,+6.160160E-04
-1.3,+6.160280E-04
-1.3,+6.160250E-04
-1.3,+6.160290E-04
-1.2,+5.334670E-04
-1.2,+5.334720E-04
-1.2,+5.334560E-04
-1.2,+5.334700E-04
-1.2,+5.334670E-04
-1.2,+5.334480E-04
-1.2,+5.334600E-04
-1.2,+5.334700E-04
-1.2,+5.334580E-04
-1.2,+5.334690E-04
-1.1,+4.515910E-04
-1.1,+4.516090E-04
-1.1,+4.516050E-04
-1.1,+4.515910E-04
-1.1,+4.516010E-04
-1.1,+4.515940E-04
-1.1,+4.516010E-04
-1.1,+4.516010E-04
-1.1,+4.515950E-04
-1.1,+4.516040E-04
-1.0,+3.706710E-04
-1.0,+3.706690E-04
-1.0,+3.706750E-04
-1.0,+3.706640E-04
-1.0,+3.706720E-04
-1.0,+3.706660E-04
-1.0,+3.706690E-04
-1.0,+3.706620E-04
-1.0,+3.706600E-04
-1.0,+3.706780E-04
-0.8999999999999999,+2.910820E-04
-0.8999999999999999,+2.910890E-04
-0.8999999999999999,+2.910740E-04
-0.8999999999999999,+2.910930E-04
-0.8999999999999999,+2.910670E-04
-0.8999999999999999,+2.910830E-04
-0.8999999999999999,+2.910850E-04
-0.8999999999999999,+2.910770E-04
-0.8999999999999999,+2.910800E-04
-0.8999999999999999,+2.910730E-04
-0.7999999999999999,+2.135790E-04
-0.7999999999999999,+2.135710E-04
-0.7999999999999999,+2.135720E-04
-0.7999999999999999,+2.135690E-04
-0.7999999999999999,+2.135620E-04
-0.7999999999999999,+2.135800E-04
-0.7999999999999999,+2.135780E-04
-0.7999999999999999,+2.135660E-04
-0.7999999999999999,+2.135880E-04
-0.7999999999999999,+2.135690E-04
-0.7,+1.395870E-04
-0.7,+1.395900E-04
-0.7,+1.395900E-04
-0.7,+1.395890E-04
-0.7,+1.395700E-04
-0.7,+1.395840E-04
-0.7,+1.395830E-04
-0.7,+1.395880E-04
-0.7,+1.395890E-04
-0.7,+1.395780E-04
-0.6,+7.241840E-05
-0.6,+7.251270E-05
-0.6,+7.250480E-05
-0.6,+7.250370E-05
-0.6,+7.250300E-05
-0.6,+7.250860E-05
-0.6,+7.249990E-05
-0.6,+7.251410E-05
-0.6,+7.250980E-05
-0.6,+7.250420E-05
-0.5,+2.177720E-05
-0.5,+2.177590E-05
-0.5,+2.177980E-05
-0.5,+2.177520E-05
-0.5,+2.178730E-05
-0.5,+2.178230E-05
-0.5,+2.177880E-05
-0.5,+2.178550E-05
-0.5,+2.177830E-05
-0.5,+2.178310E-05
-0.3999999999999999,+2.336550E-06
-0.3999999999999999,+2.337500E-06
-0.3999999999999999,+2.335910E-06
-0.3999999999999999,+2.336370E-06
-0.3999999999999999,+2.337220E-06
-0.3999999999999999,+2.335600E-06
-0.3999999999999999,+2.336650E-06
-0.3999999999999999,+2.336540E-06
-0.3999999999999999,+2.336770E-06
-0.3999999999999999,+2.335850E-06
-0.2999999999999998,+1.648590E-07
-0.2999999999999998,+1.644750E-07
-0.2999999999999998,+1.645340E-07
-0.2999999999999998,+1.645140E-07
-0.2999999999999998,+1.645120E-07
-0.2999999999999998,+1.645500E-07
-0.2999999999999998,+1.644700E-07
-0.2999999999999998,+1.645740E-07
-0.2999999999999998,+1.644770E-07
-0.2999999999999998,+1.645930E-07
-0.19999999999999996,+1.268200E-08
-0.19999999999999996,+1.266600E-08
-0.19999999999999996,+1.264100E-08
-0.19999999999999996,+1.266300E-08
-0.19999999999999996,+1.264500E-08
-0.19999999999999996,+1.256700E-08
-0.19999999999999996,+1.271900E-08
-0.19999999999999996,+1.262200E-08
-0.19999999999999996,+1.270700E-08
-0.19999999999999996,+1.257600E-08
-0.09999999999999987,+9.240000E-10
-0.09999999999999987,+9.360000E-10
-0.09999999999999987,+8.990000E-10
-0.09999999999999987,+9.470000E-10
-0.09999999999999987,+8.630000E-10
-0.09999999999999987,+1.006000E-09
-0.09999999999999987,+8.830000E-10
-0.09999999999999987,+9.480000E-10
-0.09999999999999987,+1.029000E-09
-0.09999999999999987,+9.120000E-10
0.0,+6.000000E-11
0.0,-2.000000E-11
0.0,+2.600000E-11
0.0,+7.500000E-11
0.0,-1.500000E-11
0.0,+9.500000E-11
0.0,-5.900000E-11
0.0,+6.700000E-11
0.0,-8.100000E-11
0.0,+2.100000E-11
0.0,+7.800000E-11
0.0,-8.600000E-11
