#2024-07-16 14:31:32.508796, Temp:  27.5°C, Humi: 50.6 %
Sourced_voltage,Channel_Current
-1.5,+7.631310E-04
-1.5,+7.631450E-04
-1.5,+7.631500E-04
-1.5,+7.631440E-04
-1.5,+7.631670E-04
-1.5,+7.631580E-04
-1.5,+7.631630E-04
-1.5,+7.631570E-04
-1.5,+7.631710E-04
-1.5,+7.631630E-04
-1.4,+6.821940E-04
-1.4,+6.821930E-04
-1.4,+6.822020E-04
-1.4,+6.821890E-04
-1.4,+6.821940E-04
-1.4,+6.821970E-04
-1.4,+6.822150E-04
-1.4,+6.821950E-04
-1.4,+6.822130E-04
-1.4,+6.821950E-04
-1.3,+6.015480E-04
-1.3,+6.015530E-04
-1.3,+6.015570E-04
-1.3,+6.015460E-04
-1.3,+6.015500E-04
-1.3,+6.015420E-04
-1.3,+6.015470E-04
-1.3,+6.015470E-04
-1.3,+6.015690E-04
-1.3,+6.015400E-04
-1.2,+5.213210E-04
-1.2,+5.213310E-04
-1.2,+5.213310E-04
-1.2,+5.213320E-04
-1.2,+5.213150E-04
-1.2,+5.213270E-04
-1.2,+5.213260E-04
-1.2,+5.213230E-04
-1.2,+5.213180E-04
-1.2,+5.213050E-04
-1.1,+4.416430E-04
-1.1,+4.416560E-04
-1.1,+4.416400E-04
-1.1,+4.416390E-04
-1.1,+4.416490E-04
-1.1,+4.416510E-04
-1.1,+4.416390E-04
-1.1,+4.416390E-04
-1.1,+4.416400E-04
-1.1,+4.416420E-04
-1.0,+3.626940E-04
-1.0,+3.627060E-04
-1.0,+3.627070E-04
-1.0,+3.626990E-04
-1.0,+3.627150E-04
-1.0,+3.627070E-04
-1.0,+3.627010E-04
-1.0,+3.626910E-04
-1.0,+3.627090E-04
-1.0,+3.627020E-04
-0.8999999999999999,+2.848250E-04
-0.8999999999999999,+2.848290E-04
-0.8999999999999999,+2.848450E-04
-0.8999999999999999,+2.848300E-04
-0.8999999999999999,+2.848310E-04
-0.8999999999999999,+2.848430E-04
-0.8999999999999999,+2.848280E-04
-0.8999999999999999,+2.848290E-04
-0.8999999999999999,+2.848410E-04
-0.8999999999999999,+2.848230E-04
-0.7999999999999999,+2.086450E-04
-0.7999999999999999,+2.086620E-04
-0.7999999999999999,+2.086380E-04
-0.7999999999999999,+2.086440E-04
-0.7999999999999999,+2.086410E-04
-0.7999999999999999,+2.086460E-04
-0.7999999999999999,+2.086520E-04
-0.7999999999999999,+2.086470E-04
-0.7999999999999999,+2.086510E-04
-0.7999999999999999,+2.086480E-04
-0.7,+1.353850E-04
-0.7,+1.353860E-04
-0.7,+1.354040E-04
-0.7,+1.353860E-04
-0.7,+1.354020E-04
-0.7,+1.353890E-04
-0.7,+1.353940E-04
-0.7,+1.353820E-04
-0.7,+1.353980E-04
-0.7,+1.353900E-04
-0.6,+6.816680E-05
-0.6,+6.826240E-05
-0.6,+6.825660E-05
-0.6,+6.824810E-05
-0.6,+6.825420E-05
-0.6,+6.825310E-05
-0.6,+6.824820E-05
-0.6,+6.825040E-05
-0.6,+6.825150E-05
-0.6,+6.824280E-05
-0.5,+1.769540E-05
-0.5,+1.768870E-05
-0.5,+1.769370E-05
-0.5,+1.768990E-05
-0.5,+1.769590E-05
-0.5,+1.769780E-05
-0.5,+1.769300E-05
-0.5,+1.769460E-05
-0.5,+1.768820E-05
-0.5,+1.769620E-05
-0.3999999999999999,+1.408340E-06
-0.3999999999999999,+1.408920E-06
-0.3999999999999999,+1.408370E-06
-0.3999999999999999,+1.408350E-06
-0.3999999999999999,+1.408180E-06
-0.3999999999999999,+1.409130E-06
-0.3999999999999999,+1.408720E-06
-0.3999999999999999,+1.408340E-06
-0.3999999999999999,+1.408510E-06
-0.3999999999999999,+1.408340E-06
-0.2999999999999998,+8.739800E-08
-0.2999999999999998,+8.643600E-08
-0.2999999999999998,+8.632300E-08
-0.2999999999999998,+8.656900E-08
-0.2999999999999998,+8.643500E-08
-0.2999999999999998,+8.624900E-08
-0.2999999999999998,+8.648100E-08
-0.2999999999999998,+8.628500E-08
-0.2999999999999998,+8.650300E-08
-0.2999999999999998,+8.630400E-08
-0.19999999999999996,+4.942000E-09
-0.19999999999999996,+4.701000E-09
-0.19999999999999996,+4.951000E-09
-0.19999999999999996,+4.727000E-09
-0.19999999999999996,+4.847000E-09
-0.19999999999999996,+4.761000E-09
-0.19999999999999996,+4.777000E-09
-0.19999999999999996,+4.925000E-09
-0.19999999999999996,+4.717000E-09
